Year,Driver,AvgLapTime,StdLapTime,TotalLaps,ConsistencyIndex,NormAvgLapTime,NormConsistency,OPI,SES,RaceIntelligenceIndex
2024,DOO,91.05414285714286,3.2956562565047594,56,0.23279330102024237,0.36862481378167256,1.0,0.7788251117309966,0.4474087205994923,0.6794001943915452
2023,DEV,88.08821635434413,10.665491358774808,587,0.0857229214993844,0.0,0.05214863359421785,0.6208594534376871,0.5690826809320878,0.6053264216860073
2023,PIA,88.49300256191289,10.339625562042446,1171,0.0881863333607185,0.05030948684858551,0.06802503444660422,0.5970243216694904,0.6010830858418394,0.5982419509211951
2024,SAR,88.93779324324325,11.021285200160792,740,0.08318578116644504,0.10559099228120798,0.035797061379781996,0.550964229183188,0.5012803145286957,0.5360590547868402
2023,VER,88.97197564687976,11.093545346544639,1314,0.08268873778074677,0.10983940577467355,0.03259367498864099,0.5471338265306522,0.5214766773397762,0.5394366817733894
2024,NOR,89.24421721027065,10.436362674396545,1441,0.08744038891305678,0.1436753742364345,0.0632175098703948,0.5390817794062972,0.6004542322954994,0.5574935152730578
2023,SAI,89.23407785888078,10.980099133475333,1233,0.08347176336844783,0.14241518909211964,0.037640183168269926,0.5296069598120361,0.6015206298344072,0.5511810608187474
2023,STR,89.24859844559585,11.307450115491454,1158,0.08125159887841386,0.1442199029205947,0.023331483126968658,0.5228006514984307,0.5485924664378943,0.5305381959802697
2024,VER,89.4373818051576,10.540635579086741,1396,0.08665034028213671,0.16768313800004206,0.05812573899998374,0.5226404127999682,0.6392852132608496,0.5576338529382326
2024,PIA,89.48546201657459,10.558758794995033,1448,0.08651447942948702,0.17365886226814042,0.05725013172104285,0.5187047353275328,0.6361625018716506,0.5539420652907681
2023,NOR,89.35321656050955,11.165511712272252,1256,0.08219958384415725,0.15722252894381658,0.029441135172740204,0.5174429367028062,0.5406536782386742,0.5244061591635665
2024,RUS,89.59826275331936,10.649852732531976,1431,0.08583799494799796,0.187678478242353,0.052890268489434226,0.5085490204503619,0.5924086757982774,0.5337069170547365
2024,HAM,89.58940721649483,10.745321767191461,1358,0.08514028136660574,0.1865778539990356,0.04839358619598376,0.5074107220789722,0.5964476968481193,0.5341218145097163
2023,HAM,89.50139123505976,11.223400147812317,1255,0.0818102972910508,0.1756386500991073,0.02693222894371251,0.5053897015180205,0.5994304322534324,0.533601920738644
2024,SAI,89.63543423952976,10.76803214996226,1361,0.08497597450931565,0.1922983945381094,0.047334647749645124,0.5035548223769923,0.624866754419073,0.5399484019896166
2024,LEC,89.7025649122807,10.508208921883814,1425,0.0868944947721984,0.20064183518591566,0.05969928608521625,0.5034946133225371,0.6372391531934222,0.5436179752838026
2023,OCO,89.43155909943715,11.718302832170583,1066,0.0786268429990933,0.16695945391350786,0.006415238980452591,0.5023904232440763,0.5695698631377375,0.5225442552121746
2023,PER,89.5411201000834,11.294912729478355,1199,0.08133445287516308,0.1805764142201264,0.02386546742949634,0.5012003384397227,0.5572979888649322,0.5180296335672855
2023,ALO,89.75566171875,11.211719513142453,1280,0.08188854967752769,0.20724105481549085,0.027436556407123436,0.48662998967355486,0.5978798807556384,0.52000495699818
2024,RIC,90.03227042801556,11.412906810043761,1028,0.08056130729917842,0.24161980083201845,0.0188826347679153,0.46258117340795496,0.5458699962439351,0.48756782025874895
2023,TSU,90.03942375737152,11.424719751318344,1187,0.0804847127351821,0.2425088635580404,0.018388991776174247,0.4618502785756455,0.5831403801005048,0.49823730903310326
2024,GAS,90.15771451104101,11.023584505010614,1268,0.08316987330885127,0.25721081487152053,0.03569453710122933,0.4599513259175794,0.6026342906960974,0.5027562153511348
2024,ZHO,90.42178481012658,10.237256161780628,1343,0.08898969513582242,0.29003120497014057,0.07320260697161717,0.4552623198065625,0.5794053664406854,0.49250523379679934
2023,RUS,90.28148032128514,11.096386591140305,1245,0.0826693155402643,0.27259324215376485,0.032468500924088026,0.44943145507737625,0.531071331239401,0.4739234179259837
2024,TSU,90.50211946202532,10.3936459157116,1264,0.08776821812770404,0.3000157228158942,0.06533033075291024,0.44612269861162757,0.5743090710099088,0.4845786103311119
2024,ALB,90.42100900900901,11.008811140723155,1110,0.0832721897514812,0.2899347833149762,0.03635395458739144,0.44058071184597086,0.5517496554394898,0.47393139492402653
2023,GAS,90.34852532679739,11.588799200601757,1224,0.07943569391052,0.2809260355148343,0.011628188346001935,0.4360956540295002,0.5868079459996512,0.4813093416205455
2023,BOT,90.52094019933554,11.055391464740106,1204,0.08295043781239486,0.30235488758604867,0.03428030103390049,0.43229918786193094,0.5839305188071029,0.47778858714548245
2024,MAG,90.78287348912168,10.319542244909211,1241,0.08834279499683254,0.3349096761418424,0.06903341136154745,0.4266675588595135,0.5857890116384592,0.4744039946931972
2024,PER,90.71915517241379,10.598305197374106,1276,0.08621949353655595,0.32699034550139533,0.0553489821993236,0.4259453855788922,0.5651776733125701,0.4677150718989955
2023,LEC,90.73662467419635,10.931912883641624,1151,0.08380885862575956,0.3291615698508109,0.03981272261022133,0.41842814713360194,0.6342997024309365,0.48318961372280234
2024,STR,90.76198051441934,10.943148528270484,1283,0.08373001454624063,0.3323129601066571,0.03930458175447258,0.4163340566377947,0.5659746334818213,0.4612262296910027
2024,ALO,90.86003599712022,10.584479683215855,1389,0.08632239231675183,0.3444999391220771,0.056012152782876246,0.4157048976399042,0.6190097661199696,0.47669635818392375
2024,BOT,90.88126749271137,10.61601154487671,1372,0.08608806870901003,0.3471387287553366,0.05450196458248683,0.4135175485797928,0.6193523212708374,0.47526798038710616
